time,open,high,low,close,tick_volume,spread,real_volume
2025-02-18 05:00:00,2910.834,2915.629,2909.785,2910.832,9146,159,0
2025-02-18 06:00:00,2910.775,2914.402,2910.041,2913.683,6576,159,0
2025-02-18 07:00:00,2913.722,2915.349,2908.465,2911.501,6162,159,0
2025-02-18 08:00:00,2911.61,2913.249,2908.211,2912.453,7499,159,0
2025-02-18 09:00:00,2912.414,2913.415,2910.032,2912.591,6302,159,0
2025-02-18 10:00:00,2912.594,2913.393,2907.052,2911.182,6202,159,0
2025-02-18 11:00:00,2911.227,2914.886,2909.689,2914.159,6190,159,0
2025-02-18 12:00:00,2914.21,2918.882,2912.054,2918.112,8284,159,0
2025-02-18 13:00:00,2918.156,2921.418,2913.257,2918.87,12600,159,0
2025-02-18 14:00:00,2918.874,2928.735,2917.76,2927.9,13059,159,0
2025-02-18 15:00:00,2927.95,2929.609,2923.599,2927.02,13656,159,0
2025-02-18 16:00:00,2926.986,2933.763,2924.186,2932.85,11489,159,0
2025-02-18 17:00:00,2932.803,2933.684,2929.64,2931.193,7877,159,0
2025-02-18 18:00:00,2931.232,2933.729,2928.318,2933.251,7398,159,0
2025-02-18 19:00:00,2933.245,2936.994,2931.933,2935.821,6340,159,0
2025-02-18 20:00:00,2935.832,2936.788,2932.393,2933.386,5561,160,0
2025-02-18 21:00:00,2933.423,2936.493,2933.202,2935.356,3118,159,0
2025-02-18 23:00:00,2935.27,2935.663,2933.124,2934.061,2372,160,0
2025-02-19 00:00:00,2934.059,2934.358,2928.596,2929.261,3576,159,0
2025-02-19 01:00:00,2929.237,2939.648,2927.904,2938.392,7578,159,0
2025-02-19 02:00:00,2938.445,2939.653,2924.081,2929.227,10281,159,0
2025-02-19 03:00:00,2929.254,2930.482,2924.907,2928.825,7399,159,0
2025-02-19 04:00:00,2928.828,2929.567,2926.487,2929.263,4808,159,0
2025-02-19 05:00:00,2929.26,2934.492,2928.021,2932.801,6153,159,0
